Strain ;Replicate;Viability
01_Control;1;7324468
01_Control;2;8144535
01_Control;3;6591516
01_Control;4;7871430
02_ALI;1;8040303
02_ALI;2;7876459
02_ALI;3;7118367
02_ALI;4;7596996
03_int;1;7703324
03_int;2;7222753
03_int;3;7693875
03_int;4;7819628
03_int;5;7445659
03_int;6;7804711
04_g2;1;7047224
04_g2;2;7254025
04_g2;3;7107739
05_stm;1;6916158
05_stm;2;7603985
05_stm;3;7310839
