Strain ;Size_nm;Concentration_ml;Protein_ug_per_ml;DNA_ng_per_ul;RNA_ng_per_ul;Lipid_ug_ml;Expt. ;Replicate
2_M. intestini ;;;85.9;5.5;0.785;;E30;2
2_M. intestini ;;;77.1;;;;E30;3
2_M. intestini ;;;77.9;;;;E30;4
2_M. intestini ;;;88.9;;;;E30;5
2_M. intestini ;112.4;2.51E+10;28;5.1;0.504;;E31;1
2_M. intestini ;;;29;5.1;0.496;;E31;2
2_M. intestini ;;;32.6;;;;E31;3
2_M. intestini ;123.3;6.99E+10;47.4;4.44;0.543;;E32;1
2_M. intestini ;;;47.7;4.48;0.546;;E32;2
2_M. intestini ;;;49.2;4.5;0.33;;E32;3
2_M. intestini ;;;51.9;4.91;;;E32;4
2_M. intestini ;;;58.4;;;;E32;5
1_M. smithii ALI;137.8;6.19E+10;80.5;4.91;0.395;;E33;1
1_M. smithii ALI;;;79.7;5.1;0.381;;E33;2
1_M. smithii ALI;;;79.3;5.2;;;E33;3
1_M. smithii ALI;;;78.5;5.5;;;E33;4
1_M. smithii ALI;;;84.8;;;;E33;5
4_M. stadtmanae;98.2;2.34E+10;24.4;0.369;;;E34;1
4_M. stadtmanae;;;28.1;0.343;;;E34;2
4_M. stadtmanae;94;1.99E+10;19.6;0.3;;;E35;1
4_M. stadtmanae;;;21.3;0.283;;;E35;2
2_M. intestini ;117.1;2.60E+10;28.3;4.59;0.43;;E37;1
2_M. intestini ;;;32.2;4.48;0.425;;E37;2
3_M. smithii GRAZ-2;92;2.22E+10;33.8;0.796;0.563;;E39;1
3_M. smithii GRAZ-2;;;37.4;0.784;0.536;;E39;2
1_M. smithii ALI;110.5;2.07E+10;23.5;0.241;0.4;;E40;1
1_M. smithii ALI;;;26.2;0.232;0.388;;E40;2
2_M. intestini ;87.9;1.21E+10;17.3;2.74;;;E41;1
2_M. intestini ;;;20.3;2.52;;;E41;2
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
